CNAE;RAT;FPAS;Descrição da atividade
234190;3,00%;507;Fabricação de produtos cerâmicos refratár ios
234270;3,00%;507;Fabricação de azulejos e pisos
234270;3,00%;507;Fabricação de artefatos de cerâmica e bar ro cozido para uso na construção,
234940;3,00%;507;Fabricação de material sanitário de cerâm ica
234949;3,00%;507;Fabricação de produtos cerâmicos não-refr atários não especificados
239150;2,00%;507;Britamento de pedras, exceto associado à extração
239150;2,00%;507;Aparelhamento de pedras para construção, exceto associado à extração
239150;2,00%;507;Aparelhamento de placas e execução de tra balhos em mármore, granito,
239230;2,00%;507;Fabricação de cal e gesso
239910;2,00%;507;Decoração, lapidação, gravação, vitrifica ção e outros trabalhos em
239919;2,00%;507;Fabricação de outros produtos de minerais  não-metálicos não especificados
241130;1,00%;507;Produção de ferro-gusa
241210;1,00%;507;Produção de ferroligas
242110;3,00%;507;Produção de semi-acabados de aço
242290;3,00%;507;Produção de laminados planos de aço ao ca rbono, revestidos ou não
242290;3,00%;507;Produção de laminados planos de aços espe ciais
242370;3,00%;507;Produção de tubos de aço sem costura
242370;3,00%;507;Produção de laminados longos de aço, exce to tubos
242450;3,00%;507;Produção de arames de aço
242450;3,00%;507;Produção de relaminados, trefilados e per filados de aço, exceto arames
243180;2,00%;507;Produção de tubos de aço com costura
243930;2,00%;507;Produção de outros tubos de ferro e aço
244150;2,00%;507;Produção de alumínio e suas ligas em form as primárias
244150;2,00%;507;Produção de laminados de alumínio
244230;2,00%;507;Metalurgia dos metais preciosos
244310;2,00%;507;Metalurgia do cobre
244910;2,00%;507;Produção de zinco em formas primárias
244910;2,00%;507;Produção de laminados de zinco
244910;2,00%;507;Produção de soldas e ânodos para galvanop lastia
244919;2,00%;507;Metalurgia de outros metais não-ferrosos e suas ligas não especificados
245120;2,00%;507;Fundição de ferro e aço
245210;2,00%;507;Fundição de metais não-ferrosos e suas li gas
251100;2,00%;507;Fabricação de estruturas metálicas
251280;2,00%;507;Fabricação de esquadrias de metal
251360;2,00%;507;Fabricação de obras de caldeiraria pesada
252170;2,00%;507;Fabricação de tanques, reservatórios metá licos e caldeiras para aquecimento
252250;2,00%;507;Fabricação de caldeiras geradoras de vapo r, exceto para aquecimento central
253140;2,00%;507;Produção de forjados de aço
253140;2,00%;507;Produção de forjados de metais não-ferros os e suas ligas
253220;2,00%;507;Produção de artefatos estampados de metal
253220;2,00%;507;Metalurgia do pó
253900;2,00%;507;Serviços de usinagem, solda, tratamento e  revestimento em metais
254110;2,00%;507;Fabricação de artigos de cutelaria
254200;2,00%;507;Fabricação de artigos de serralheria, exc eto esquadrias
254380;2,00%;507;Fabricação de ferramentas
255010;2,00%;507;Fabricação de equipamento bélico pesado, exceto veículos militares de
255010;2,00%;507;Fabricação de armas de fogo e munições
259180;2,00%;507;Fabricação de embalagens metálicas
259260;2,00%;507;Fabricação de produtos de trefilados de m etal padronizados
259260;2,00%;507;Fabricação de produtos de trefilados de m etal, exceto padronizados
259340;2,00%;507;Fabricação de artigos de metal para uso d oméstico e pessoal
259930;2,00%;507;Serviços de confecção de armações metálic as para a construção
259939;2,00%;507;Fabricação de outros produtos de metal nã o especificados anteriormente
261080;1,00%;507;Fabricação de componentes eletrônicos
262130;1,00%;507;Fabricação de equipamentos de informática
262210;1,00%;507;Fabricação de periféricos para equipament os de informática
263110;2,00%;507;Fabricação de equipamentos transmissores de comunicação, peças e
263290;2,00%;507;Fabricação de aparelhos telefônicos e de outros equipamentos de
264000;2,00%;507;Fabricação de aparelhos de recepção, repr odução, gravação e amplificação
265150;1,00%;507;Fabricação de aparelhos e equipamentos de  medida, teste e controle
265230;1,00%;507;Fabricação de cronômetros e relógios
266040;1,00%;507;Fabricação de aparelhos eletromédicos e e letroterapêuticos e equipamentos
267010;1,00%;507;Fabricação de equipamentos e instrumentos  ópticos, peças e acessórios
267010;1,00%;507;Fabricação de aparelhos fotográficos e ci nematográficos, peças e acessórios
268090;1,00%;507;Fabricação de mídias virgens, magnéticas e ópticas
271040;2,00%;507;Fabricação de geradores de corrente contí nua e alternada, peças e acessórios
271040;2,00%;507;Fabricação de transformadores, indutores,  conversores, sincronizadores e
